network,geoname_id,registered_country_geoname_id,represented_country_geoname_id,is_anonymous_proxy,is_satellite_provider
2.16.48.28/30,2635167,,,0,0
2.16.48.32/30,6255148,,,0,0
2.16.48.36/30,2635167,,,0,0
2.16.48.40/30,6255148,,,0,0
2.16.48.44/30,2635167,,,0,0
2.16.48.48/30,6255148,,,0,0
2.16.48.52/30,2635167,,,0,0
2.16.48.56/30,6255148,,,0,0
2.16.48.60/30,2635167,,,0,0
2.16.48.64/30,6255148,,,0,0
2.16.48.68/30,2635167,,,0,0
2.16.48.72/30,6255148,,,0,0
2.16.48.76/30,2635167,,,0,0
2.16.48.80/30,6255148,,,0,0
2.16.48.84/30,2635167,,,0,0
2.16.48.88/30,6255148,,,0,0
2.16.48.92/30,2635167,,,0,0
2.16.48.96/30,6255148,,,0,0
2.16.48.100/30,2635167,,,0,0
2.16.48.104/30,6255148,,,0,0
2.16.48.108/30,2635167,,,0,0
2.16.48.112/30,6255148,,,0,0
2.16.48.116/30,2635167,,,0,0
2.16.48.120/30,6255148,,,0,0
2.16.48.124/30,2635167,,,0,0
2.16.48.128/28,6255148,,,0,0
2.16.48.144/30,2635167,,,0,0
2.16.48.148/30,6255148,,,0,0
2.16.48.152/30,2635167,,,0,0
2.16.48.156/30,6255148,,,0,0
2.16.48.160/30,2635167,,,0,0
2.16.48.164/30,6255148,,,0,0
2.16.48.168/30,2635167,,,0,0
2.16.48.172/30,6255148,,,0,0
2.16.48.176/30,2635167,,,0,0
2.16.48.180/30,6255148,,,0,0
2.16.48.184/30,2635167,,,0,0
2.16.48.188/30,6255148,,,0,0
2.16.48.192/30,2635167,,,0,0
2.16.48.196/30,6255148,,,0,0
2.16.48.200/30,2635167,,,0,0
2.16.48.204/30,6255148,,,0,0
2.16.48.208/30,2635167,,,0,0
2.16.48.212/30,6255148,,,0,0
2.16.48.216/30,2635167,,,0,0
2.16.48.220/30,6255148,,,0,0
2.16.48.224/30,2635167,,,0,0
2.16.48.228/30,6255148,,,0,0
2.16.48.232/30,2635167,,,0,0
2.16.48.236/30,6255148,,,0,0
2.16.48.240/31,2635167,,,0,0
2.16.48.242/31,6255148,,,0,0
2.16.48.244/30,6255148,,,0,0
2.16.48.248/29,6255148,,,0,0
2.16.49.0/24,6255148,,,0,0
2.16.50.0/23,6255148,,,0,0
2.16.52.0/22,6255148,,,0,0
2.16.56.0/22,6255148,,,0,0
2.16.60.0/30,6255148,,,0,0
2.16.60.4/30,3077311,,,0,0
2.16.60.8/30,6255148,,,0,0
2.16.60.12/30,3077311,,,0,0
2.16.60.16/30,6255148,,,0,0
2.16.60.20/30,3077311,,,0,0
2.16.60.24/30,6255148,,,0,0
2.16.60.28/31,3077311,,,0,0
2.16.60.30/32,3077311,,,0,0
2.16.60.31/32,6255148,,,0,0
2.16.60.32/27,6255148,,,0,0
2.16.60.64/30,6255148,,,0,0
2.16.60.68/30,3077311,,,0,0
2.16.60.72/30,6255148,,,0,0
2.16.60.76/30,3077311,,,0,0
2.16.60.80/30,6255148,,,0,0
2.16.60.84/30,3077311,,,0,0
2.16.60.88/30,6255148,,,0,0
2.16.60.92/30,3077311,,,0,0
2.16.60.96/30,6255148,,,0,0
2.16.60.100/30,3077311,,,0,0
2.16.60.104/30,6255148,,,0,0
2.16.60.108/30,3077311,,,0,0
2.16.60.112/30,6255148,,,0,0
2.16.60.116/31,3077311,,,0,0
2.16.60.118/32,6255148,,,0,0
2.16.60.119/32,3077311,,,0,0
2.16.60.120/30,6255148,,,0,0
2.16.60.124/32,3077311,,,0,0
2.16.60.125/32,6255148,,,0,0
2.16.60.126/32,3077311,,,0,0
2.16.60.127/32,6255148,,,0,0
2.16.60.128/30,6255148,,,0,0
2.16.60.132/30,3077311,,,0,0
2.16.60.136/30,6255148,,,0,0
2.16.60.140/30,3077311,,,0,0
2.16.60.144/30,6255148,,,0,0
2.16.60.148/30,3077311,,,0,0
2.16.60.152/30,6255148,,,0,0
2.16.60.156/30,3077311,,,0,0
2.16.60.160/30,6255148,,,0,0
2.16.60.164/32,3077311,,,0,0
2.16.60.165/32,6255148,,,0,0
2.16.60.166/31,6255148,,,0,0
2.16.60.168/29,6255148,,,0,0
2.16.60.176/28,6255148,,,0,0
2.16.60.192/26,6255148,,,0,0
2.16.61.0/27,6255148,,,0,0
2.16.61.32/29,6255148,,,0,0
2.16.61.40/30,6255148,,,0,0
2.16.61.44/32,6255148,,,0,0
2.16.61.45/32,2921044,,,0,0
